Contrato de Locação	Contrato Comercial	ValorAquisicao	Estratégia
LOC-2589-22/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-1515-352/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-27/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-25/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-23/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-24/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-26/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-28/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-30/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-31/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-29/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-34/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-361/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-32/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-386/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-33/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-35/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-36/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-351/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-37/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-59/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-40/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-42/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-53/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-383/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-39/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-366/36	CTO-1515	 R$ 71.785,00 	Renova com troca (zero)
LOC-2589-51/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-38/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-369/36	CTO-1515	 R$ 71.785,00 	Renova com troca (zero)
LOC-2589-45/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-58/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-57/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-43/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-41/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-49/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-46/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-44/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-47/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-54/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-52/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-48/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-56/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-55/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-63/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-65/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-62/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-60/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-66/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-67/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-64/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-61/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-69/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-68/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-70/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-71/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-76/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-75/60	CTO-2589	 R$ 128.581,65 	Renova com troca (zero)
LOC-2589-72/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-77/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-74/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-78/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-80/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-79/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-82/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-87/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-81/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-73/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-90/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-86/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-83/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2825-2/36	CTO-2825		Aguardando periodo para analise 
LOC-2820-1/36	CTO-2820		Aguardando periodo para analise 
LOC-2589-84/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-85/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-88/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-89/60	CTO-2589	 R$ 214.374,70 	Renova com troca (zero)
LOC-2589-91/60	CTO-2589	 R$ 128.581,65 	Renova com troca (zero)
LOC-2589-98/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-94/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-95/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2867-1/36	CTO-2867		Aguardando periodo para analise 
LOC-2867-2/36	CTO-2867		Aguardando periodo para analise 
LOC-2867-3/36	CTO-2867		Aguardando periodo para analise 
LOC-1515-364/36	CTO-1515	 R$ 71.785,00 	Renova com troca (zero)
LOC-2589-110/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-103/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-101/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-97/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-348/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-104/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-93/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-100/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-92/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-99/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-96/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-107/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-102/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-109/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-350/36	CTO-1515	 R$ 74.848,00 	Renova com troca (zero)
LOC-2589-105/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-108/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2497-14/18	CTO-2854	 R$ 102.476,00 	Renova com troca (zero)
LOC-2589-121/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-123/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-370/36	CTO-1515	 R$ 71.785,00 	Renova com troca (zero)
LOC-2589-106/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-122/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2867-4/36	CTO-2867		Aguardando periodo para analise 
LOC-2589-112/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-111/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-130/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-119/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-125/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-1515-372/36	CTO-1515	 R$ 71.785,00 	Renova com troca (zero)
LOC-2589-113/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-127/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-120/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-126/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-128/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-115/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-124/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-129/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-114/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-116/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-131/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-117/60	CTO-2589	 R$ 68.000,00 	Renova com troca (zero)
LOC-2589-118/60	CTO-2589	 R$ 68.00
