Contrato de Locação	Contrato Comercial	ValorAquisicao	Estratégia
LOC-1929-7/18	CTO-2070		Não Renova
LOC-1176-1/36	CTO-1176		Não Renova
LOC-2070-112/48	CTO-2070		Não Renova
LOC-1001-19/12	CTO-1001		Não Renova
LOC-2727-1/12	CTO-2727		Não Renova
LOC-2070-18/48	CTO-2070		Não Renova
LOC-1931-16/48	CTO-1931		Não Renova
LOC-2665-1/12	CTO-2665		Não Renova
LOC-1515-356/36	CTO-1515		Não Renova
LOC-2070-74/48	CTO-2070		Não Renova
LOC-1450-31/48	CTO-2070		Não Renova
LOC-1515-377/36	CTO-1515		Não Renova
LOC-2070-127/48	CTO-2070		Não Renova
LOC-1450-13/48	CTO-2070		Não Renova
LOC-1931-8/48	CTO-1931		Não Renova
LOC-2070-39/48	CTO-2070		Não Renova
LOC-2049-51/60	CTO-2070		Não Renova
LOC-2070-152/48	CTO-2070		Não Renova
LOC-2498-1/24	CTO-2498		Não Renova
LOC-2683-1/12	CTO-2683		Não Renova
LOC-1575-1/48	CTO-1575		Não Renova
LOC-1931-7/48	CTO-1931		Não Renova
LOC-2070-111/48	CTO-2070		Não Renova
LOC-2070-98/48	CTO-2070		Não Renova
LOC-1598-1/48	CTO-1598		Não Renova
LOC-2070-96/48	CTO-2070		Não Renova
LOC-2049-9/60	CTO-2070		Não Renova
LOC-1493-3/48	CTO-1493		Não Renova
LOC-2070-176/48	CTO-2070		Não Renova
LOC-2070-46/48	CTO-2070		Não Renova
LOC-1450-39/48	CTO-2070		Não Renova
LOC-1450-23/48	CTO-2070		Não Renova
LOC-2070-146/48	CTO-2070		Não Renova
LOC-1515-330/24	CTO-1514	 R$ 57.191,00 	Renova com troca (zero)
LOC-1450-46/48	CTO-2070		Não Renova
LOC-2070-71/48	CTO-2070		Não Renova
LOC-1515-357/36	CTO-1515		Não Renova
LOC-1822-1/24	CTO-2711		Não Renova
LOC-1450-19/48	CTO-2070		Não Renova
LOC-2597-2/24	CTO-2597		Não Renova
LOC-2049-43/60	CTO-2070		Não Renova
LOC-1450-37/48	CTO-2070		Não Renova
LOC-2106-1/48	CTO-2106		Não Renova
LOC-1450-32/48	CTO-2070		Não Renova
LOC-2538-4/24	CTO-2538	 R$ 109.765,00 	Renova com troca (zero)
LOC-1450-2/48	CTO-2070		Não Renova
LOC-1929-12/18	CTO-2070		Não Renova
LOC-1450-36/48	CTO-2070		Não Renova
LOC-2552-1/24	CTO-2552		Não Renova
LOC-1929-8/18	CTO-2070		Não Renova
LOC-1450-29/48	CTO-2070		Não Renova
LOC-1001-20/12	CTO-1001		Não Renova
LOC-2070-124/48	CTO-2070		Não Renova
LOC-1450-4/48	CTO-2070		Não Renova
LOC-2070-104/48	CTO-2070		Não Renova
LOC-2070-131/48	CTO-2070		Não Renova
LOC-1450-49/48	CTO-2070		Não Renova
LOC-2009-92/60	CTO-2070		Não Renova
LOC-1303-1/48	CTO-1303		Não Renova
LOC-1001-7/12	CTO-1001		Não Renova
LOC-2597-8/24	CTO-2597		Não Renova
LOC-2070-48/48	CTO-2070		Não Renova
LOC-1593-1/24	CTO-1593		Não Renova
LOC-2407-82/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2023-1/48	CTO-2023		Não Renova
LOC-2070-150/48	CTO-2070		Não Renova
LOC-2070-145/48	CTO-2070		Não Renova
LOC-1001-22/12	CTO-1001		Não Renova
LOC-2070-193/48	CTO-2070		Não Renova
LOC-2298-88/30	CTO-2298		Não Renova
LOC-2407-36/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2471-2/30	CTO-2471		Não Renova
LOC-2070-144/48	CTO-2070		Não Renova
LOC-2049-18/60	CTO-2070		Não Renova
LOC-2049-16/60	CTO-2070		Não Renova
LOC-2407-78/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2070-65/48	CTO-2070		Não Renova
LOC-1450-40/48	CTO-2070		Não Renova
LOC-1450-14/48	CTO-2070		Não Renova
LOC-1450-5/48	CTO-2070		Não Renova
LOC-2407-90/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2471-12/30	CTO-2471		Não Renova
LOC-1450-21/48	CTO-2070		Não Renova
LOC-2407-72/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1515-360/36	CTO-1515		Não Renova
LOC-2407-94/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1515-379/36	CTO-1515		Não Renova
LOC-1450-22/48	CTO-2070		Não Renova
LOC-1515-382/36	CTO-1515		Não Renova
LOC-1515-363/36	CTO-1515		Não Renova
LOC-1515-391/36	CTO-1515		Não Renova
LOC-2407-22/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2407-25/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-1450-3/48	CTO-2070		Não Renova
LOC-1930-1/12	CTO-2070		Não Renova
LOC-2070-62/48	CTO-2070		Não Renova
LOC-2407-71/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-1450-11/48	CTO-2070		Não Renova
LOC-2366-1/36	CTO-2366		Não Renova
LOC-2658-1/6	CTO-2843		Não Renova
LOC-2407-21/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-1929-13/18	CTO-2070		Não Renova
LOC-2070-34/48	CTO-2070		Não Renova
LOC-2431-1/29	CTO-2431		Não Renova
LOC-1450-33/48	CTO-2070		Não Renova
LOC-2407-12/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-1931-13/48	CTO-1931		Não Renova
LOC-2070-58/48	CTO-2070		Não Renova
LOC-1450-9/48	CTO-2070		Não Renova
LOC-2731-1/12	CTO-2731		Não Renova
LOC-2630-1/24	CTO-2630		Não Renova
LOC-1814-1/15	CTO-2868		Não Renova
LOC-1450-18/48	CTO-2070		Não Renova
LOC-2184-1/18	CTO-2842		Não Renova
LOC-1450-63/48	CTO-2070		Não Renova
LOC-1450-34/48	CTO-2070		Não Renova
LOC-2471-5/30	CTO-2471		Renova com mesmo Veiculo
LOC-2407-7/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-1515-358/36	CTO-1515		Não Renova
LOC-1450-38/48	CTO-2070		Não Renova
LOC-1176-2/36	CTO-1176		Não Renova
LOC-2597-1/24	CTO-2597		Não Renova
LOC-2597-4/24	CTO-2597		Não Renova
LOC-1515-380/36	CTO-1515		Não Renova
LOC-1450-20/48	CTO-2070		Não Renova
LOC-2070-59/48	CTO-2070		Não Renova
LOC-1514-5/24	CTO-1514		Não Renova
LOC-2070-149/48	CTO-2070		Não Renova
LOC-1515-387/36	CTO-1515		Não Renova
LOC-2070-64/48	CTO-2070		Não Renova
LOC-1515-354/36	CTO-1515		Não Renova
LOC-1450-51/48	CTO-2070		Não Renova
LOC-2453-1/30	CTO-2453		Renova com mesmo Veiculo
LOC-1929-4/18	CTO-2070		Não Renova
LOC-2407-28/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-1515-359/36	CTO-1515		Não Renova
LOC-2471-14/30	CTO-2471		Não Renova
LOC-1450-54/48	CTO-2070		Não Renova
LOC-2348-1/36	CTO-2348		Não Renova
LOC-2471-7/30	CTO-2471		Não Renova
LOC-2070-147/48	CTO-2070		Não Renova
LOC-2471-11/30	CTO-2471		Renova com mesmo Veiculo
LOC-2422-1/36	CTO-2422		Renova com mesmo Veiculo
LOC-2558-1/24	CTO-2558		Não Renova
LOC-2805-1/12	CTO-2805		Não Renova
LOC-1450-52/48	CTO-2070		Não Renova
LOC-1450-58/48	CTO-2070		Não Renova
LOC-2070-15/48	CTO-2070		Não Renova
LOC-2756-1/6	CTO-2871		Não Renova
LOC-2407-80/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2070-16/48	CTO-2070		Não Renova
LOC-2407-18/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2597-6/24	CTO-2597		Não Renova
LOC-1929-14/18	CTO-2070		Não Renova
LOC-2407-13/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2563-1/24	CTO-2563		Não Renova
LOC-1450-73/48	CTO-2070		Não Renova
LOC-2471-9/30	CTO-2471		Não Renova
LOC-2597-9/24	CTO-2597		Não Renova
LOC-1434-2/36	CTO-1434		Não Renova
LOC-1930-2/12	CTO-2070		Não Renova
LOC-2471-6/30	CTO-2471		Não Renova
LOC-1929-11/18	CTO-2070		Não Renova
LOC-1450-71/48	CTO-2070		Não Renova
LOC-1450-55/48	CTO-2070		Não Renova
LOC-1450-75/48	CTO-2070		Não Renova
LOC-2471-8/30	CTO-2471		Não Renova
LOC-1450-94/48	CTO-2070		Não Renova
LOC-2597-5/24	CTO-2597		Não Renova
LOC-2471-1/30	CTO-2471		Não Renova
LOC-1450-35/48	CTO-2070		Não Renova
LOC-2471-3/30	CTO-2471		Não Renova
LOC-1450-74/48	CTO-2070		Não Renova
LOC-1450-69/48	CTO-2070		Não Renova
LOC-2471-4/30	CTO-2471		Não Renova
LOC-2509-1/12	CTO-2718		Não Renova
LOC-2224-3/24	CTO-2795		Não Renova (Retorna pra Frota)
LOC-2298-71/30	CTO-2298		Não Renova (Retorna pra Frota)
LOC-2742-3/12	CTO-2742		Não Renova (Retorna pra Frota)
LOC-2742-4/12	CTO-2742		Não Renova (Retorna pra Frota)
LOC-2298-59/30	CTO-2298		Não Renova (Retorna pra Frota)
LOC-2514-1/30	CTO-2514	 R$ 390.000,00 	Renova com troca (zero)
LOC-2514-2/30	CTO-2514	 R$ 390.000,00 	Renova com troca (zero)
LOC-2298-28/30	CTO-2298		Não Renova (Retorna pra Frota)
LOC-2597-10/24	CTO-2597		Não Renova (Retorna pra Frota)
LOC-2224-1/24	CTO-2795		Não Renova (Retorna pra Frota)
LOC-2597-7/24	CTO-2597		Não Renova (Retorna pra Frota)
LOC-2597-3/24	CTO-2597		Não Renova (Retorna pra Frota)
LOC-2506-2/12	CTO-2506		Renova com mesmo Veiculo
LOC-2506-1/12	CTO-2506		Renova com mesmo Veiculo
LOC-2746-1/12	CTO-2746		Renova com mesmo Veiculo
LOC-2777-2/8	CTO-2777		Não Renova
LOC-2804-1/12	CTO-2804		Renova com mesmo Veiculo
LOC-2624-3/12	CTO-2624	 R$ 180.000,00 	Renova com troca (zero)
LOC-2407-20/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2624-4/12	CTO-2624	 R$ 180.000,00 	Renova com troca (zero)
LOC-2487-14/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-32/12	CTO-2846		Renova com mesmo Veiculo
LOC-2865-1/12	CTO-2865		Renova com mesmo Veiculo
LOC-2487-42/12	CTO-2846		Renova com mesmo Veiculo
LOC-2891-1/4	CTO-2891		Renova com mesmo Veiculo
LOC-2461-4/12	CTO-2887		Renova com mesmo Veiculo
LOC-2487-36/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-28/12	CTO-2846		Renova com mesmo Veiculo
LOC-2407-27/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2487-26/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-6/12	CTO-2846		Renova com mesmo Veiculo
LOC-2777-1/8	CTO-2777		Não Renova
LOC-2775-1/12	CTO-2775		Renova com mesmo Veiculo
LOC-2487-27/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-15/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-25/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-29/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-17/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-18/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-21/12	CTO-2846		Renova com mesmo Veiculo
LOC-2487-9/12	CTO-2846		Renova com mesmo Veiculo
LOC-2427-39/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-43/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-40/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-47/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-38/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-45/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-34/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-32/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-44/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-42/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-36/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-33/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-23/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-37/30	CTO-2427		Renova com mesmo Veiculo
LOC-2407-17/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2427-31/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-30/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-46/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-41/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-2/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-3/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-29/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-4/30	CTO-2427		Renova com mesmo Veiculo
LOC-2427-25/30	CTO-2427		Renova com mesmo Veiculo
LOC-2528-7/24	CTO-2528		Renova com mesmo Veiculo
LOC-2583-5/27	CTO-2583		Renova com mesmo Veiculo
LOC-2427-5/30	CTO-2427		Renova com mesmo Veiculo
LOC-2513-1/12	CTO-2513		Renova com mesmo Veiculo
LOC-2429-31/30	CTO-2429		Não Renova
LOC-2583-12/27	CTO-2583		Renova com mesmo Veiculo
LOC-2429-20/30	CTO-2429		Não Renova
LOC-1008-30/36	CTO-2429		Não Renova
LOC-2429-13/30	CTO-2429		Não Renova
LOC-2833-1/12	CTO-2833		Renova com mesmo Veiculo
LOC-2429-11/30	CTO-2429		Não Renova
LOC-2407-39/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-44/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-56/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-67/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2429-18/30	CTO-2429		Não Renova
LOC-2429-25/30	CTO-2429		Não Renova
LOC-2429-8/30	CTO-2429		Não Renova
LOC-2429-24/30	CTO-2429		Não Renova
LOC-2429-23/30	CTO-2429		Não Renova
LOC-2407-47/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2407-24/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2429-9/30	CTO-2429		Não Renova
LOC-2429-30/30	CTO-2429		Não Renova
LOC-2429-19/30	CTO-2429		Não Renova
LOC-2583-7/27	CTO-2583		Renova com mesmo Veiculo
LOC-2429-15/30	CTO-2429		Não Renova
LOC-2429-16/30	CTO-2429		Não Renova
LOC-2429-17/30	CTO-2429		Não Renova
