IdNota;ValorFaturado;RawRow
2247937;19327.41;"{""IdNota"":""2247937"",""Nota"":""FA-54526"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""CONSORCIO SUPERVISOR CG DER/PR"",""Valor Faturado"":""R$19.327,41"",""ValorCompra"":""R$592.830,16""}"
2247680;19247.51;"{""IdNota"":""2247680"",""Nota"":""FA-54513"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""BARBOSA & MARQUES"",""Valor Faturado"":""R$19.247,51"",""ValorCompra"":""R$639.800,89""}"
2268978;18951.70;"{""IdNota"":""2268978"",""Nota"":""FA-54626"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""05/03/2026"",""Cliente"":""SENADO FEDERAL"",""Valor Faturado"":""R$18.951,70"",""ValorCompra"":""R$730.000,00""}"
2183549;18901.35;"{""IdNota"":""2183549"",""Nota"":""FA-54140"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""05/02/2026"",""Cliente"":""SHIRLEY APARECIDA OLIVEIRA MILIONE"",""Valor Faturado"":""R$18.901,35"",""ValorCompra"":""R$125.379,91""}"
2263902;16655.56;"{""IdNota"":""2263902"",""Nota"":""FA-54608"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""DETRAN PB"",""Valor Faturado"":""R$16.655,56"",""ValorCompra"":""R$409.455,00""}"
2264385;15980.00;"{""IdNota"":""2264385"",""Nota"":""FA-54615"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""SEJEL PB"",""Valor Faturado"":""R$15.980,00"",""ValorCompra"":""R$401.628,10""}"
2249134;15058.35;"{""IdNota"":""2249134"",""Nota"":""FA-54554"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""SETTE FIBRA"",""Valor Faturado"":""R$15.058,35"",""ValorCompra"":""R$481.045,60""}"
2239617;14360.00;"{""IdNota"":""2239617"",""Nota"":""FA-54380"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""BLU GESTAO E MOBILIDADE LTDA"",""Valor Faturado"":""R$14.360,00"",""ValorCompra"":""R$484.016,04""}"
2248920;12400.00;"{""IdNota"":""2248920"",""Nota"":""FA-54548"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ON STRIDER"",""Valor Faturado"":""R$12.400,00"",""ValorCompra"":""R$263.849,40""}"
2284113;12220.34;"{""IdNota"":""2284113"",""Nota"":""FA-54853"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""10/03/2026"",""Cliente"":""EMGEA"",""Valor Faturado"":""R$12.220,34"",""ValorCompra"":""R$314.261,40""}"
2239610;11927.71;"{""IdNota"":""2239610"",""Nota"":""FA-54376"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""BLU GESTAO E MOBILIDADE LTDA"",""Valor Faturado"":""R$11.927,71"",""ValorCompra"":""R$456.138,63""}"
2248916;11550.00;"{""IdNota"":""2248916"",""Nota"":""FA-54546"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ON STRIDER"",""Valor Faturado"":""R$11.550,00"",""ValorCompra"":""R$257.334,60""}"
2247950;11219.90;"{""IdNota"":""2247950"",""Nota"":""FA-54527"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""COPYUAI LOCACAO DE EQUIPAMENTOS LTDA"",""Valor Faturado"":""R$11.219,90"",""ValorCompra"":""R$363.834,00""}"
2248912;11200.00;"{""IdNota"":""2248912"",""Nota"":""FA-54544"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ON STRIDER"",""Valor Faturado"":""R$11.200,00"",""ValorCompra"":""""}"
2248914;11200.00;"{""IdNota"":""2248914"",""Nota"":""FA-54545"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ON STRIDER"",""Valor Faturado"":""R$11.200,00"",""ValorCompra"":""""}"
2247714;10859.04;"{""IdNota"":""2247714"",""Nota"":""FA-54519"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""BVL VIDA"",""Valor Faturado"":""R$10.859,04"",""ValorCompra"":""R$312.369,75""}"
2270879;10565.50;"{""IdNota"":""2270879"",""Nota"":""FA-54627"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""06/03/2026"",""Cliente"":""DF LEGAL"",""Valor Faturado"":""R$10.565,50"",""ValorCompra"":""R$3.667.440,00""}"
2263566;9963.56;"{""IdNota"":""2263566"",""Nota"":""FA-54605"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""02/03/2026"",""Cliente"":""BLUE FLEET"",""Valor Faturado"":""R$9.963,56"",""ValorCompra"":""R$803.736,70""}"
2278386;9800.00;"{""IdNota"":""2278386"",""Nota"":""FA-54656"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""02/03/2026"",""Cliente"":""CASA CIVIL - SP"",""Valor Faturado"":""R$9.800,00"",""ValorCompra"":""R$278.160,40""}"
2231126;9008.10;"{""IdNota"":""2231126"",""Nota"":""FA-54319"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""23/02/2026"",""Cliente"":""YUDO SA"",""Valor Faturado"":""R$9.008,10"",""ValorCompra"":""""}"
2248918;8786.70;"{""IdNota"":""2248918"",""Nota"":""FA-54547"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ON STRIDER"",""Valor Faturado"":""R$8.786,70"",""ValorCompra"":""R$241.598,60""}"
2264388;8552.62;"{""IdNota"":""2264388"",""Nota"":""FA-54616"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""SESI-CONSELHO NACIONAL"",""Valor Faturado"":""R$8.552,62"",""ValorCompra"":""R$250.783,20""}"
2247681;7569.36;"{""IdNota"":""2247681"",""Nota"":""FA-54514"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""BARBOSA & MARQUES"",""Valor Faturado"":""R$7.569,36"",""ValorCompra"":""R$238.857,42""}"
2294300;7550.00;"{""IdNota"":""2294300"",""Nota"":""FA-54902"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""12/03/2026"",""Cliente"":""EMBAIXADA DA REPUBLICA GABONESA"",""Valor Faturado"":""R$7.550,00"",""ValorCompra"":""R$235.150,07""}"
2249136;7120.00;"{""IdNota"":""2249136"",""Nota"":""FA-54556"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""SETTE FIBRA"",""Valor Faturado"":""R$7.120,00"",""ValorCompra"":""R$252.676,96""}"
2156433;6986.49;"{""IdNota"":""2156433"",""Nota"":""FA-53792"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""30/01/2026"",""Cliente"":""PAULO HENRIQUE DA SILVA"",""Valor Faturado"":""R$6.986,49"",""ValorCompra"":""R$269.955,00""}"
2239860;6756.00;"{""IdNota"":""2239860"",""Nota"":""FA-54390"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""PREVIX SERVICOS LTDA"",""Valor Faturado"":""R$6.756,00"",""ValorCompra"":""R$204.899,46""}"
2249332;6428.76;"{""IdNota"":""2249332"",""Nota"":""FA-54566"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""YUDO SA"",""Valor Faturado"":""R$6.428,76"",""ValorCompra"":""R$272.696,25""}"
2249193;6043.16;"{""IdNota"":""2249193"",""Nota"":""FA-54562"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""TERRA FERTIL CORRETORA DE SEGUROS LTDA"",""Valor Faturado"":""R$6.043,16"",""ValorCompra"":""R$205.872,48""}"
2263920;5970.49;"{""IdNota"":""2263920"",""Nota"":""FA-54609"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""04/03/2026"",""Cliente"":""MINISTERIO DO TURISMO"",""Valor Faturado"":""R$5.970,49"",""ValorCompra"":""R$193.800,00""}"
2248977;5950.56;"{""IdNota"":""2248977"",""Nota"":""FA-54552"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""RAYAN DUARTE COSTA"",""Valor Faturado"":""R$5.950,56"",""ValorCompra"":""R$197.611,80""}"
2249150;5424.71;"{""IdNota"":""2249150"",""Nota"":""FA-54558"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""T.T.S. TECNO TROLLEY SYSTEM DO BRASIL LTDA"",""Valor Faturado"":""R$5.424,71"",""ValorCompra"":""R$188.843,00""}"
2247963;5274.00;"{""IdNota"":""2247963"",""Nota"":""FA-54529"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ENGEFIELD ENGENHARIA E SERVICOS DE TELECOMUNICACOES LTDA"",""Valor Faturado"":""R$5.274,00"",""ValorCompra"":""R$160.867,49""}"
2239683;5227.37;"{""IdNota"":""2239683"",""Nota"":""FA-54386"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""CONCEPT BLINDAGEM"",""Valor Faturado"":""R$5.227,37"",""ValorCompra"":""R$216.027,60""}"
2247984;5113.32;"{""IdNota"":""2247984"",""Nota"":""FA-54531"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""GEMPTEC - SERVICOS TECNICOS E AMBIENTAIS LTDA"",""Valor Faturado"":""R$5.113,32"",""ValorCompra"":""R$168.985,80""}"
2252623;5000.00;"{""IdNota"":""2252623"",""Nota"":""FA-54585"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""02/03/2026"",""Cliente"":""RICARDO RODANTE SECHIS"",""Valor Faturado"":""R$5.000,00"",""ValorCompra"":""R$241.598,60""}"
2249336;4693.04;"{""IdNota"":""2249336"",""Nota"":""FA-54568"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ZARAMELLA SERVICOS MEDICOS LTDA"",""Valor Faturado"":""R$4.693,04"",""ValorCompra"":""R$166.429,90""}"
2248224;4524.68;"{""IdNota"":""2248224"",""Nota"":""FA-54535"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""KBV ASSESSORIA EMPRESARIAL LTDA"",""Valor Faturado"":""R$4.524,68"",""ValorCompra"":""R$158.541,61""}"
2248113;4500.00;"{""IdNota"":""2248113"",""Nota"":""FA-54533"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""HOLLAND INTERMEDIACOES FINANCEIRAS LTDA"",""Valor Faturado"":""R$4.500,00"",""ValorCompra"":""R$247.150,09""}"
2172997;4390.00;"{""IdNota"":""2172997"",""Nota"":""FA-53859"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""03/02/2026"",""Cliente"":""PEDRO PAULO TEIXEIRA JUNIOR"",""Valor Faturado"":""R$4.390,00"",""ValorCompra"":""""}"
2239793;4375.57;"{""IdNota"":""2239793"",""Nota"":""FA-54388"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""METABOOKS BRASIL"",""Valor Faturado"":""R$4.375,57"",""ValorCompra"":""R$142.916,41""}"
2156437;4200.00;"{""IdNota"":""2156437"",""Nota"":""FA-53793"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""30/01/2026"",""Cliente"":""ADONIAS DA SILVA BARROS"",""Valor Faturado"":""R$4.200,00"",""ValorCompra"":""R$123.662,55""}"
2239612;4150.00;"{""IdNota"":""2239612"",""Nota"":""FA-54377"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""BLU GESTAO E MOBILIDADE LTDA"",""Valor Faturado"":""R$4.150,00"",""ValorCompra"":""R$156.645,91""}"
2247925;3995.00;"{""IdNota"":""2247925"",""Nota"":""FA-54525"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""CONSORCIO SOLUCAO DOR - LOTE 08"",""Valor Faturado"":""R$3.995,00"",""ValorCompra"":""R$144.110,16""}"
2248958;3900.00;"{""IdNota"":""2248958"",""Nota"":""FA-54551"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""PSDB"",""Valor Faturado"":""R$3.900,00"",""ValorCompra"":""R$129.604,70""}"
2249178;3900.00;"{""IdNota"":""2249178"",""Nota"":""FA-54561"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""TECHMED DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA"",""Valor Faturado"":""R$3.900,00"",""ValorCompra"":""R$134.829,01""}"
2263570;3718.30;"{""IdNota"":""2263570"",""Nota"":""FA-54607"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""ATC ATACADO DO COSMETICO EIRELI"",""Valor Faturado"":""R$3.718,30"",""ValorCompra"":""R$125.403,80""}"
2247822;3710.00;"{""IdNota"":""2247822"",""Nota"":""FA-54522"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""CONFEDERAL"",""Valor Faturado"":""R$3.710,00"",""ValorCompra"":""R$142.029,01""}"
2248898;3619.01;"{""IdNota"":""2248898"",""Nota"":""FA-54541"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""NEOCONSTEC CONSULTORIA TECNICA LTDA"",""Valor Faturado"":""R$3.619,01"",""ValorCompra"":""R$97.990,00""}"
2249135;3560.00;"{""IdNota"":""2249135"",""Nota"":""FA-54555"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""SETTE FIBRA"",""Valor Faturado"":""R$3.560,00"",""ValorCompra"":""R$125.985,18""}"
2249209;3470.00;"{""IdNota"":""2249209"",""Nota"":""FA-54563"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""UNIAO BRASIL DF"",""Valor Faturado"":""R$3.470,00"",""ValorCompra"":""R$138.124,59""}"
2278379;3352.32;"{""IdNota"":""2278379"",""Nota"":""FA-54654"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""09/03/2026"",""Cliente"":""ELIANA PRADO DE SANTANA FERREIRA"",""Valor Faturado"":""R$3.352,32"",""ValorCompra"":""R$123.110,99""}"
2247682;3350.00;"{""IdNota"":""2247682"",""Nota"":""FA-54515"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""BARBOSA & MARQUES"",""Valor Faturado"":""R$3.350,00"",""ValorCompra"":""R$138.124,59""}"
2214978;3250.00;"{""IdNota"":""2214978"",""Nota"":""FA-54291"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""19/02/2026"",""Cliente"":""TRANSFORMA VIDAS"",""Valor Faturado"":""R$3.250,00"",""ValorCompra"":""R$93.231,57""}"
2239613;3191.56;"{""IdNota"":""2239613"",""Nota"":""FA-54378"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""25/02/2026"",""Cliente"":""BLU GESTAO E MOBILIDADE LTDA"",""Valor Faturado"":""R$3.191,56"",""ValorCompra"":""R$109.989,61""}"
2259599;3165.00;"{""IdNota"":""2259599"",""Nota"":""FA-54596"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""03/03/2026"",""Cliente"":""CLINICA EDUARDO ALENCAR"",""Valor Faturado"":""R$3.165,00"",""ValorCompra"":""R$120.748,40""}"
2156420;3150.00;"{""IdNota"":""2156420"",""Nota"":""FA-53789"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""30/01/2026"",""Cliente"":""EDUARDO ASAFE VALVERDE LOPES"",""Valor Faturado"":""R$3.150,00"",""ValorCompra"":""R$111.543,71""}"
2248078;3000.00;"{""IdNota"":""2248078"",""Nota"":""FA-54532"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""GROOVE.TECH"",""Valor Faturado"":""R$3.000,00"",""ValorCompra"":""R$124.010,99""}"
2247924;2995.00;"{""IdNota"":""2247924"",""Nota"":""FA-54524"",""DataCompetencia"":""01/02/2026"",""DataEmissao"":""27/02/2026"",""Cliente"":""CONSORCIO SOLUCAO DOR - LOTE 08"",""Valor Faturado"":""R$2.995,00"",""ValorCompra"":""R$0,00""}"
